구,Location,0
강남구,개포동,16
강남구,논현동,74
강남구,대치동,42
강남구,도곡동,19
강남구,삼성동,49
강남구,세곡동,4
강남구,수서동,6
강남구,신사동,56
강남구,압구정동,7
강남구,역삼동,80
강남구,율현동,1
강남구,일원동,15
강남구,자곡동,8
강남구,청담동,35
강동구,강일동,8
강동구,고덕동,15
강동구,길동,20
강동구,둔촌동,11
강동구,명일동,36
강동구,상일동,8
강동구,성내동,44
강동구,암사동,23
강동구,천호동,47
강북구,미아동,71
강북구,번동,26
강북구,수유동,55
강북구,우이동,5
강서구,가양동,14
강서구,개화동,1
강서구,공항동,5
강서구,내발산동,25
강서구,등촌동,26
강서구,마곡동,57
강서구,방화동,18
강서구,염창동,10
강서구,외발산동,1
강서구,화곡동,76
관악구,남현동,8
관악구,봉천동,71
관악구,신림동,86
광진구,광장동,7
광진구,구의동,35
광진구,군자동,10
광진구,능동,8
광진구,자양동,39
광진구,중곡동,33
광진구,화양동,14
구로구,가리봉동,3
구로구,개봉동,24
구로구,고척동,23
구로구,구로동,40
구로구,궁동,4
구로구,신도림동,13
구로구,오류동,10
구로구,천왕동,4
구로구,항동,5
금천구,가산동,20
금천구,독산동,37
금천구,시흥동,33
노원구,공릉동,38
노원구,상계동,84
노원구,월계동,19
노원구,중계동,35
노원구,하계동,12
도봉구,도봉동,13
도봉구,방학동,25
도봉구,쌍문동,34
도봉구,창동,45
동대문구,답십리동,16
동대문구,신설동,1
동대문구,용두동,12
동대문구,이문동,10
동대문구,장안동,42
동대문구,전농동,18
동대문구,제기동,6
동대문구,청량리동,11
동대문구,회기동,8
동대문구,휘경동,7
동작구,노량진동,8
동작구,대방동,11
동작구,본동,1
동작구,사당동,36
동작구,상도1동,7
동작구,상도동,28
동작구,신대방동,14
동작구,흑석동,7
마포구,공덕동,13
마포구,구수동,2
마포구,노고산동,9
마포구,당인동,1
마포구,대흥동,10
마포구,도화동,11
마포구,동교동,12
마포구,마포동,1
마포구,망원동,35
마포구,상수동,10
마포구,상암동,17
마포구,서교동,38
마포구,성산동,13
마포구,신공덕동,5
마포구,신수동,5
마포구,아현동,10
마포구,연남동,15
마포구,염리동,8
마포구,용강동,1
마포구,중동,3
마포구,창전동,3
마포구,합정동,19
서대문구,남가좌동,17
서대문구,냉천동,2
서대문구,대신동,2
서대문구,대현동,7
서대문구,북가좌동,16
서대문구,북아현동,4
서대문구,신촌동,1
서대문구,연희동,15
서대문구,영천동,2
서대문구,창천동,12
서대문구,충현동,2
서대문구,현저동,1
서대문구,홍은동,15
서대문구,홍제동,24
서초구,내곡동,4
서초구,반포동,33
서초구,방배동,54
서초구,서초동,81
서초구,신원동,1
서초구,양재동,30
서초구,우면동,9
서초구,잠원동,21
성동구,금호1가동,3
성동구,금호2.3가동,6
성동구,금호4가동,8
성동구,도선동,3
성동구,마장동,5
성동구,사근동,2
성동구,상왕십리동,4
성동구,성수1가1동,12
성동구,성수1가2동,9
성동구,성수2가1동,14
성동구,성수2가3동,9
성동구,송정동,3
성동구,옥수동,7
성동구,용답동,5
성동구,하왕십리동,20
성동구,행당동,30
성동구,홍익동,3
성북구,길음동,16
성북구,돈암동,6
성북구,동선동,15
성북구,보문동,6
성북구,삼선동,19
성북구,석관동,13
성북구,성북동,9
성북구,안암동,4
성북구,장위동,21
성북구,정릉동,21
성북구,종암동,9
성북구,하월곡동,20
송파구,가락동,37
송파구,거여동,10
송파구,마천동,14
송파구,문정동,52
송파구,방이동,38
송파구,삼전동,21
송파구,석촌동,31
송파구,송파동,27
송파구,신천동,20
송파구,오금동,18
송파구,잠실동,47
송파구,장지동,15
송파구,풍납동,11
양천구,목동,69
양천구,신월동,55
양천구,신정동,51
영등포구,당산1동,9
영등포구,당산2동,14
영등포구,당산동,1
영등포구,대림동,15
영등포구,도림동,3
영등포구,문래동,10
영등포구,신길동,34
영등포구,양평1동,9
영등포구,양평2동,8
영등포구,여의도동,27
영등포구,영등포동,33
용산구,갈월동,4
용산구,남영동,2
용산구,동자동,1
용산구,보광동,7
용산구,산천동,2
용산구,서빙고동,3
용산구,용문동,4
용산구,용산2가동,10
용산구,원효로1동,6
용산구,이촌동,7
용산구,이태원동,20
용산구,청파동,10
용산구,한강로동,16
용산구,한남동,18
용산구,효창동,4
용산구,후암동,4
은평구,갈현동,25
은평구,구산동,5
은평구,녹번동,15
은평구,대조동,20
은평구,불광동,23
은평구,수색동,4
은평구,신사동,14
은평구,역촌동,15
은평구,응암동,34
은평구,증산동,8
은평구,진관동,25
종로구,가회동,3
종로구,견지동,1
종로구,계동,1
종로구,관훈동,1
종로구,교북동,1
종로구,구기동,3
종로구,권농동,1
종로구,낙원동,1
종로구,내자동,4
종로구,당주동,1
종로구,동숭동,4
종로구,묘동,1
종로구,무악동,1
종로구,부암동,5
종로구,사간동,1
종로구,사직동,9
종로구,삼청동,2
종로구,서린동,1
종로구,소격동,1
종로구,송월동,1
종로구,수송동,1
종로구,숭인동,5
종로구,신교동,1
종로구,신영동,3
종로구,안국동,1
종로구,연건동,3
종로구,옥인동,2
종로구,와룡동,2
종로구,원서동,2
종로구,인사동,1
종로구,적선동,1
종로구,종로1.2.3.4가동,12
종로구,종로5.6가동,14
종로구,창신동,10
종로구,청운효자동,3
종로구,청진동,2
종로구,통의동,1
종로구,통인동,2
종로구,팔판동,1
종로구,평동,4
종로구,평창동,6
종로구,필운동,1
종로구,행촌동,1
종로구,혜화동,13
종로구,홍지동,4
종로구,홍파동,2
종로구,화동,2
중구,광희동,7
중구,남창동,6
중구,명동,12
중구,무교동,1
중구,묵정동,2
중구,삼각동,1
중구,서소문동,1
중구,소공동,6
중구,수하동,1
중구,신당동,25
중구,을지로동,5
중구,장충동,4
중구,정동,5
중구,중림동,6
중구,필동,8
중구,황학동,5
중구,회현동,10
중구,흥인동,2
중랑구,망우동,20
중랑구,면목동,52
중랑구,묵동,19
중랑구,상봉동,24
중랑구,신내동,15
중랑구,중화동,16
